instruction,input,output
Kisan ko fasal ke baare mein batao,Mere gehu mein pila pan aa raha hai kya karoon,"Gehu mein pila pan zinc ya nitrogen ki kami se hota hai. Zinc sulphate 25 kg/hectare daalo aur urea ka chhidkav karo. Agar zyada ho to spray karein: 0.5% urea + 0.5% zinc sulphate."
Government scheme batao,PM-KISAN yojana kya hai,"PM-KISAN yojana mein har saal 6000 rupaye teen kiston mein milte hain. Register karne ke liye pmkisan.gov.in par jaao ya najdeeki CSC center par jaao. Aadhar card aur bank account chahiye."
Crop disease treatment,Chawal mein blast disease ka ilaj batao,"Chawal mein blast disease fungus se hoti hai. Tricyclazole 75% WP 0.6 gram per liter paani mein milakar spray karo. Kheton mein paani ka level sahi rakho."
Fertilizer advice,Gehu ki buwai mein urea kitna daalna chahiye,"Gehu ke liye DAP 50 kg + urea 30 kg per acre buwai ke time daalo. Baad mein 30 dino mein 30 kg urea top dressing karo."
Irrigation advice,Drip aur flood irrigation mein kya fark hai,"Drip irrigation mein 40-50% paani bachta hai aur seedha ped ki jadon ko milta hai. Flood irrigation mein zyada paani lagta hai par cost kam hai. Sabzi aur baagan ke liye drip behtar hai."
Disease identification,Tamatar mein patta murjhana kab hota hai,"Tamatar mein patta murjhana wilt disease se hota hai. Copper oxychloride 3g/litre spray karo. Drainage sahi rakho. Affected plants hatao aur jalao."
Soil health,Meri zameen ka pH kaise check karoon,"Soil testing kit se ghar par check kar sakte ho ya krishi vibhag ki lab mein free test hoti hai. Neutral pH 6.5-7.5 sabse achha hota hai."
Pest control,Kapas mein bollworm ka ilaj,"Kapas mein bollworm ke liye Bt cotton use karo. Chlorpyrifos 20% EC 2 ml per litre spray karo. Pheromone traps bhi lagao monitoring ke liye."
Weather advisory,Barish ke baad kya karna chahiye,"Barish ke baad kheton mein paani nikalo taki jad sadne na paye. Fungicide spray karo bimari rokne ke liye. Natraaj ya Mancozeb 2g/litre spray suitable hai."
Market price,Aaj pyaz ka bhav kya hai,"Pyaz ka bhav mandi mein roz badalta hai. Agmarknet.gov.in par apni nayab mandi ka bhav dekho ya apne mobile par Kisan Suvidha app download karo."
